Fin_year,Stop_ID,Stop_name,Stop_lat,Stop_long,Pax_annual
FY22-23,20358,Warrnambool Railway Station (Warrnambool),-38.385015,142.475547,61700
FY22-23,20359,Winchelsea Railway Station (Winchelsea),-38.240133,143.984137,3550
FY22-23,20360,Wodonga Railway Station (Wodonga),-36.105829,146.871267,26400
FY22-23,20361,Woodend Railway Station (Woodend),-37.358803,144.525893,104000
FY22-23,20362,Yarragon Railway Station (Yarragon),-38.203155,146.063065,11400
FY22-23,22257,Sherwood Park Railway Station (Warrnambool),-38.386396,142.538873,1800
FY22-23,43469,Wendouree Railway Station (Wendouree),-37.539713,143.820062,106000
FY22-23,44951,Creswick Railway Station (Creswick),-37.424605,143.888122,750
FY22-23,44952,Clunes Railway Station (Clunes),-37.303143,143.781574,1150
FY22-23,44953,Maryborough Railway Station (Maryborough),-37.050912,143.742399,6400
FY22-23,47482,Talbot Railway Station (Talbot),-37.172902,143.705635,650
FY22-23,47641,Waurn Ponds Railway Station (Waurn Ponds),-38.21581,144.30682,178200
FY22-23,47642,Epsom Railway Station (Epsom),-36.706343,144.321036,3400
FY22-23,47647,Wyndham Vale Railway Station (Manor Lakes),-37.872884,144.608734,715950
FY22-23,47648,Tarneit Railway Station (Tarneit),-37.832169,144.694716,1159600
FY22-23,48804,Cobblebank Railway Station (Cobblebank),-37.712542,144.604103,178900
FY22-23,49295,Raywood Railway Station (Raywood),-36.531956,144.201158,300
FY22-23,49296,Huntly Railway Station (Huntly),-36.665847,144.369821,250
FY22-23,51809,Goornong Railway Station (Goornong),-36.615181,144.503478,800
FY22-23,52011,Caroline Springs Railway Station (Ravenhall),-37.766144,144.735748,185750
FY22-23,64408,Southern Cross Railway Station (Melbourne City),-37.818245,144.951691,4555550
