station_name,latitude,longitude,annual_entries
Flemington Bridge,-37.78813995,144.9393233,273600
Macaulay,-37.79426673,144.9361663,303550
North Melbourne,-37.80630984,144.9415102,1394050
Clifton Hill,-37.78865745,144.9954167,719300
Victoria Park,-37.79915782,144.9944514,659700
Collingwood,-37.80452593,144.9937497,487500
North Richmond,-38.1039836,144.9925003,608300
West Richmond,-37.81494896,144.9914228,407750
Jolimont,-37.81652702,144.9840983,1060400
Macleod,-37.7260123,145.0691433,314850
Watsonia,-37.71095798,145.0837934,315600
Greensborough,-37.70395408,145.1082474,378250
Montmorency,-37.71529624,145.1215157,175700
Eltham,-37.71354967,145.147822,344100
Diamond Creek,-37.67329744,145.1585062,114700
Wattle Glen,-37.66396792,145.1816145,27200
Hurstbridge,-37.63939817,145.1920169,75700
Williamstown,-37.86775292,144.9053233,149500
Williamstown Beach,-37.86398189,144.8944837,166350
North Williamstown,-37.85733348,144.8890695,271600
Newport,-37.84271757,144.8835999,1245950
Spotswood,-37.83063888,144.8859335,354600
Yarraville,-37.81585044,144.8899337,820600
Seddon,-37.80900514,144.8956716,416600
Watergardens,-37.70112872,144.7741805,1295450
Keilor Plains,-37.72927934,144.7937381,599750
St Albans,-37.74486131,144.8000505,962650
Ginifer,-37.75751083,144.8095734,624500
Albion,-37.77765281,144.8247036,413900
Epping,-37.65238715,145.0301217,748150
Lalor,-37.66585075,145.0171932,494550
Thomastown,-37.68033809,145.0142789,595700
Keon Park,-37.69487012,145.0118838,293800
Ruthven,-37.70789754,145.0095166,289350
Reservoir,-37.71688492,145.0069958,757800
Regent,-37.72840277,145.0027726,382700
Preston,-37.73867424,145.000522,581250
Bell,-37.74556212,145.000155,412250
Thornbury,-37.75505179,144.9985715,376150
Croxton,-37.764101,144.9970562,244250
Northcote,-37.76986537,144.9952772,293050
Merri,-37.77784668,144.9929725,147850
Rushall,-37.78321711,144.9924071,123150
Sunshine,-37.78853633,144.8328782,1577600
Tottenham,-37.7992509,144.8629449,394350
West Footscray,-37.8018087,144.8853248,512550
Middle Footscray,-37.8025047,144.8914721,190800
Footscray,-37.80108298,144.9031992,4383950
South Kensington,-37.79953087,144.925469,324400
Flemington Racecourse,-37.78720192,144.9075887,145550
Showgrounds,-37.7835,144.915,114900
Broadmeadows,-37.68304926,144.9196132,878300
Jacana,-37.69513079,144.9158505,213150
Glenroy,-37.70453633,144.9172204,740900
Oak Park,-37.71794973,144.9215188,418000
Pascoe Vale,-37.73075596,144.9281956,538950
Strathmore,-37.74359132,144.9273157,303300
Glenbervie,-37.74720985,144.9209387,272200
Essendon,-37.7560117,144.9161975,1347950
Moonee Ponds,-37.76570666,144.9191607,782550
Ascot Vale,-37.77530609,144.9218207,491400
Newmarket,-37.78732767,144.9289785,600650
Kensington,-37.79378022,144.9305244,421500
Box Hill,-37.81922165,145.1214289,2648350
Southern Cross,-37.81793643,144.9514112,14696050
Roxburgh Park,-37.63823121,144.9354037,498650
Craigieburn,-37.6018169,144.9433203,1508250
Coolaroo,-37.66100253,144.9260556,281400
Lynbrook,-38.05734118,145.2492751,407450
Cardinia Road,-38.07129047,145.437791,405950
South Morang,-37.6491588,145.0670324,569650
Williams Landing,-37.86986533,144.7474447,1389550
Union,-37.823477,145.1000368,593100
East Pakenham,-38.084284,145.506311,54500
Southland,-37.958758,145.049124,479000
Middle Gorge,-37.644062,145.09214,222950
Hawkstowe,-37.622992,145.097396,208500
Mernda,-37.602549,145.100883,662700
